YearMonth,Pool,Accumulated Count
2020-09,100,2020
2020-09,200,9129
2020-09,301,9482
2020-09,302,217
2020-10,100,2770
2020-10,200,24015
2020-10,301,28798
2020-10,302,6906
2020-11,100,2990
2020-11,200,28956
2020-11,301,46356
2020-11,302,13132
2020-12,100,3140
2020-12,200,42911
2020-12,301,71172
2020-12,302,17801
2021-01,100,3250
2021-01,200,48026
2021-01,301,94206
2021-01,302,22986
2021-02,100,3320
2021-02,200,51347
2021-02,301,110791
2021-02,302,32911
2021-03,100,3330
2021-03,200,52136
2021-03,301,116957
2021-03,302,34066
2021-04,200,52259
2021-04,301,117455
2021-04,302,34516
2021-05,200,52372
2021-05,301,117965
2021-06,200,52388
2021-06,301,118026
2021-06,302,34518
